Year,Party,Sex,Constituency_Name,Candidate,Vote_Share_Percentage,Margin_Percentage
2019,JD(U),M,VALMIKI NAGAR,BAIDYANATH PRASAD MAHTO,58.39,34.36
2019,BJP,M,PASCHIM CHAMPARAN,DR. SANJAY JAISWAL,59.6,29.02
2019,BJP,M,PURVI CHAMPARAN,RADHA MOHAN SINGH,57.81,29.38
2019,BJP,F,SHEOHAR,RAMA DEVI,60.59,33.88
2019,JD(U),M,SITAMARHI,Sunil Kumar Pintu,54.65,24.12
2019,BJP,M,MADHUBANI,ASHOK KUMAR YADAV,61.83,47.21
2019,JD(U),M,JHANJHARPUR,Ramprit Mandal,56.8,30.45
2019,JD(U),M,PURNIA,SANTOSH KUMAR,54.85,22.83
2019,JD(U),M,MADHEPURA,Dinesh Chandra Yadav,54.42,26.28
2019,BJP,M,DARBHANGA,Gopal Jee Thakur,60.79,27.77
2019,BJP,M,MUZAFFARPUR,Ajay Nishad,63.03,38.75
2019,JD(U),M,GOPALGANJ (SC),DR. ALOK KUMAR SUMAN,55.44,27.95
2019,BJP,M,MAHARAJGANJ,Janardan Singh (Sigriwal),56.17,23.72
2019,BJP,M,UJIARPUR,Nityanand Rai,56.11,28.61
2019,LJP,M,SAMASTIPUR (SC),Ramchandra Paswan,55.19,24.69
2019,BJP,M,BEGUSARAI,Giriraj Singh,56.48,34.45
2019,JD(U),M,BHAGALPUR,AJAY KUMAR MANDAL,59.3,26.63
2019,BJP,M,PATNA SAHIB,RAVI SHANKAR PRASAD,61.85,28.98
2019,LJP,M,JAMUI (SC),CHIRAG KUMAR PASWAN,55.75,25.4
